91198	Colin Kaepernick	Yes	Yes	=	Colin Kaepernick	=
91198	became	Yes	Yes	=	became	=
91198	a starting quarterback	Yes	Yes	=	s starting quarterback	=
91198	during the 49ers 63rd season	Yes	Yes	=	in the 49ers season	>
91198	in the National Football League	Yes	Yes	=	American football	<

194462	Tilda Swinton	Yes	Yes	=	Tilda Swinton	=
194462	is a vegan	No	Yes	=	is a fashion muse	#

137334	Fox 2000 Pictures released the film Soul Food	Yes	Yes	=	Fox 2000 Pictures released a film Soul Food	=

166626	Anne Rice	Yes	Yes	=	Anne Rice	=
166626	was born	Yes	Yes	=	spent Born	=
166626	in New Jersey	Yes	Yes	=	in New Orleans Texas	|

111897	Telemundo	Yes	Yes	=	Telemundo	=
111897	is a English-language television network	Yes	Yes	=	is an Spanish-language television network	|

89891	Damon Albarn	Yes	Yes	=	Damon Albarn	=
89891	's debut album was released	Yes	Yes	=	whose the debut album was released	=
89891	in 2011	Yes	Yes	=	in 1991	|

181634	There is a capital	Yes	Yes	=	is the capital	=
181634	called	Yes	Yes	=	as	=
181634	Mogadishu	Yes	Yes	=	Mogadishu	=

219028	Savages	Yes	Yes	=	Savages	=
219028	was exclusively a German film	Yes	Yes	=	is written a American film	!

194372	Happiness in Slavery is a gospel song	Yes	Yes	=	Happiness in Slavery is a industrial rock song	|
194372	by Nine Inch Nails	Yes	Yes	=	by Nine Inch Nails	=

108281	Andrew Kevin Walker	Yes	Yes	=	Andrew Walker	=
108281	is only Chinese	No	Yes	=	is born Canadian	#

140846	Shooter	Yes	Yes	=	Shooter	=
140846	is an expert marksman	Yes	Yes	=	an expert marksman	=
140846	who tries to stop	No	Yes	=	who is to	#
140846	the assassination	Yes	Yes	=	the kill	=
140846	of the president	Yes	Yes	=	of the president	=

110177	House	Yes	Yes	=	House	=
110177	is a sitcom	No	Yes	=	is an drama	#

204361	The Cretaceous ended	Yes	Yes	=	The Cretaceous ended	=

54168	Murda Beatz 's real name is Marshall Mathers	Yes	Yes	=	Murda Beatz a professionally known is Shane Lindstrom	|

105095	Nicholas Brody is a character on Homeland	Yes	Yes	=	Nicholas Brody is a character on Homeland	=

18708	Charles Manson has been proven innocent of all crimes	Yes	Yes	=	Charles Manson was found first-degree guilty of all murder	!

90809	Sean Penn	Yes	Yes	=	Sean Penn	=
90809	is only ever a stage actor	Yes	Yes	=	became first a leading actor	<

167997	Don Bradman	Yes	Yes	=	Don Bradman	=
167997	retired	Yes	Yes	=	retirement	=
167997	from soccer	Yes	Yes	=	of cricket	|

150773	L.A. Reid	Yes	Yes	=	L.A . Reid	=
150773	has served	Yes	Yes	=	has served	=
150773	as the CEO	Yes	Yes	=	as the CEO	=
150773	of Arista Records for four years	Yes	Yes	=	of Arista Records	>

204443	Brad Wilk helped co-found Rage	Yes	Yes	=	Brad Wilk helped co-found Rage	=
204443	in 1962	Yes	Yes	=	in 1991	|

192714	CBS	Yes	Yes	=	CBS	=
192714	is the network that aired	Yes	Yes	=	The series multi-camera from aired	<
192714	The Millers	Yes	Yes	=	The Millers	=

71182	Annette Badland was in the 2015 NBA Finals	Yes	Yes	=	Julia Holland is on a 1985 BBC opera One	|

159706	Edgar Wright is a person	Yes	Yes	=	Edgar Wright is an actor	<

107786	Ann Richards	Yes	Yes	=	Ann Richards	=
107786	was professionally involved in politics	Yes	Yes	=	was 45th of from politician	<

166846	Drake Bell	Yes	Yes	=	Drake Bell	=
166846	put out an EP	Yes	Yes	=	released released an EP	=

